Designator,Mid X,Mid Y,Rotation,Layer
C1,72.0,-58.25,270.0,top
C2,88.5,-58.25,270.0,top
H1,48.5,-33.5,0.0,top
H2,111.5,-33.5,0.0,top
H3,111.5,-76.5,0.0,top
H4,48.5,-76.5,0.0,top
J1,72.5,-39.0,180.0,top
J10,70.75,-69.0,0.0,top
J2,87.5,-39.0,180.0,top
J3,59.5,-63.75,270.0,top
J4,100.5,-63.75,90.0,top
J5,58.75,-39.025,180.0,top
J6,58.75,-47.5,180.0,top
J7,101.25,-39.0,180.0,top
J8,101.25,-47.5,180.0,top
J9,87.25,-69.0,0.0,top
R1,70.0,-48.81,270.0,top
R2,75.0,-48.81,90.0,top
R3,85.0,-48.81,270.0,top
R4,90.0,-48.69,90.0,top
